Название;Ссылка;Краткое содержание
«Уфа» продлила контракты с шестью футболистами ;http://www.bashinform.ru/news/1120998-ufa-prodlila-kontrakty-s-shestyu-futbolistami-/;" Футбольный клуб «Уфа» продлил трудовые договоры с шестью игроками. Как сообщается на официальном сайте башкирской команды, новые контракты подписали защитники Денис Тумасян, Павел Аликин, Алексей Никитин;"
Фурор на Первом канале: 14-летняя школьница из Башкирии развернула все три кресла на проекте «Голос.Дети» ;http://www.bashinform.ru/news/1120967-furor-na-pervom-kanale-14-letnyaya-vokalistka-iz-bashkirii-razvernula-vse-tri-kresla-na-proekte-golo/; 14-летняя школьница из Башкирии Назгуль Отузова развернула все три кресла на проекте «Голос.Дети.5 сезон» на Первом канале. Ее мощное исполнение композиции «Адажио» на итальянском языке вызвало настоящий фурор.
ХК «Салават Юлаев» из-за эпидемии перенес открытую тренировку ;http://www.bashinform.ru/news/1120987-khk-salavat-yulaev-iz-za-epidemii-perenes-otkrytuyu-trenirovku-/; Уфимский клуб «Салават Юлаев» заявил о переносе на неопределенный срок открытой тренировки для болельщиков из-за эпидемии гриппа. Об этом сообщается на официальном сайте башкирской команды.
В Уфе сотрудники Росгвардии спасли из пожара 80-летнюю женщину ;http://www.bashinform.ru/news/1120976-v-ufe-sotrudniki-rosgvardii-spasli-iz-pozhara-80-letnyuyu-zhenshchinu-/; Сотрудники Росгвардии в Уфе по традиции патрулировали местность и заметили задымление в Ленинском районе столицы Башкирии на улице Литерный тупик. Подъехав поближе, стражи порядка поняли, что огнем объят трехквартирный дом.
Еще два футболиста ФК «Уфа» покинули команду на правах аренды;http://www.bashinform.ru/news/1120969-eshche-dva-futbolista-ufa-pokinuli-komandu-na-pravakh-arendy/; Нападающий футбольного клуба «Уфа» Исламнур Абдулавов и голкипер молодежного состава башкирской команды Глеб Ефимов на правах аренды покинули клуб. Об этом сообщается на официальном сайте «горожан».
Уроженка Уфы на трибунах в Пхёнчхане развернула красное знамя Победы;http://www.bashinform.ru/news/1120958-urozhenka-ufy-na-tribunakh-v-pkhyenchkhane-razvernula-krasnoe-znamya-pobedy/; Поддержать лыжников из России уроженка столицы Башкирии Светлана Гладышева на Олимпиаде-2018 в Южной Корее решила, развернув на трибунах красное знамя Победы – копию того, который поднимали над Рейхстагом.
Рустэм Хамитов поздравил жителей республики с Днем защитника Отечества;http://www.bashinform.ru/news/1120955-rustem-khamitov-pozdravil-zhiteley-respubliki-s-dnem-zashchitnika-otechestva/; Глава республики Рустэм Хамитов выступил на торжественном собрании, посвященном Дню защитника Отечества, которое состоялось в уфимском Конгресс-холле. – Сердечно поздравляю вас с наступающим Днём защитника Отечества – общенародным праздником мужества, верности долгу и патриотизма, – сказал Рустэм Хамитов.
В Башкирии открылся еще один объект к 100-летию республики – «Туймазы-Арена»;http://www.bashinform.ru/news/1120937-v-bashkirii-otkrylsya-eshche-odin-obekt-k-100-letiyu-respubliki-tuymazy-arena/; В городе Туймазы введена в строй вторая очередь универсального спортивного ледового комплекса – это один из «юбилейных» объектов, возведенных к 100-летию Республики Башкортостан.
Волонтеры Башкирии присоединились к акции «Дарю тепло»;http://www.bashinform.ru/news/1120915-volontery-bashkirii-prisoedinilis-k-aktsii-daryu-teplo/; В Год добровольца (волонтера) в разных городах страны появляется все больше инициатив от граждан, которые готовы помогать и поддерживать других. Так, «серебряные» добровольцы – представители старшего поколения - решили объединиться и подарить окружающим немного тепла в холодные зимние дни, согреть в прямом и переносном смысле тех, кто в этом так сильно нуждается.
В Башкирии единороссы встретились с наблюдателями ОБСЕ  ;http://www.bashinform.ru/news/1120913-v-bashkirii-edinorossy-vstretilis-s-nablyudatelyami-obse-/; Руководитель Регионального исполкома «Единой России» Руслан Гизатуллин и его первый заместитель Светлана Чертороева встретились с долгосрочными наблюдателями ОБСЕ.
В Башкирской Википедии дан старт очередному этапу вики-марафона «Башкортостан 100»;http://www.bashinform.ru/news/1120897-v-bashkirskoy-vikipedii-dan-start-ocherednomu-etapu-viki-marafona-bashkortostan-100/; Накануне, 21 февраля, в Международный день родного языка, волонтеры Башкирской Википедии объявили о начале очередного этапа интеллектуального конкурса «Башкортостан 100».
МЧС по Башкирии предупреждает о понижении температуры до минус 30 градусов;http://www.bashinform.ru/news/1120868-mchs-po-bashkirii-preduprezhdaet-o-ponizhenii-temperatury-do-minus-30-gradusov/; По данным ФГБУ «Управление по гидрометеорологии и мониторингу окружающей среды Республики Башкортостан», 23-25 февраля на территории республики ожидается температура воздуха до минус 30 градусов.
Руководитель Рособрнадзора рассказал, каким станет ЕГЭ к 2030 году;http://www.bashinform.ru/news/1120870-rukovoditel-rosobrnadzora-rasskazal-kakim-stanet-ege-k-2030-godu/; Руководитель Рособрнадзора Сергей Кравцов на международной конференции «Образ будущего и компетенции выпускника 2030» рассказал, как может трансформироваться к 2030 году единый государственный экзамен.
В Уфе фестиваль театральных капустников «Веселая кулиса» объявил тему: «18 мне уже»;http://www.bashinform.ru/news/1120851-v-ufe-festival-teatralnykh-kapustnikov-veselaya-kulisa-obyavil-temu-18-mne-uzhe/; В Уфе пройдет 18-й Республиканский фестиваль театральных капустников «Веселая кулиса». Мероприятие, посвященное Международному дню театра, состоится 26 марта в Доме актера им.
Средства массовой информации Башкортостана подвели итоги деятельности за 2017 год ;http://www.bashinform.ru/news/1120394-sredstva-massovoy-informatsii-bashkortostana-podveli-itogi-deyatelnosti-za-2017-god-/; Сегодня в Уфе подвели итоги работы Агентства по печати и СМИ Республики Башкортостан за 2017 год и наметили задачи на 2018 год. Эти темы были обсуждены на расширенном заседании коллегии ведомства, которое прошло под председательством премьер-министра правительства РБ Рустэма Марданова.
Уфа присоединилась к всероссийской акции «Для пацанов»;http://www.bashinform.ru/news/1120804-ufa-prisoedinilas-k-vserossiyskoy-aktsii-dlya-patsanov/; Уфа присоединилась к всероссийской акции «Для пацанов». Поздравительную акцию проводит «Молодая Гвардия Единой России» более чем в 40 регионах. 22 и 23 февраля в торговых центрах и на центральных улицах Москвы, Севастополя, Кемерово, Ростова-на-Дону, Уфы, Волгограда и других городов будут установлены пункты сбора поздравлений для солдат, проходящих срочную и контрактную службу в рядах Вооруженных Сил РФ.
В Башкирии насчитывается 29 проблемных объектов строительства;http://www.bashinform.ru/news/1120793-v-bashkirii-naschityvaetsya-29-problemnykh-obektov-stroitelstva/; В Уфе 22 февраля на очередном заседании Госсобрания Башкортостана перед депутатами с отчетом о состоянии правопорядка в регионе выступил министр внутренних дел по РБ Роман Деев.
Госдума продлила «дачную амнистию» до 1 марта 2020 года;http://www.bashinform.ru/news/1120818-gosduma-podlila-dachnuyu-amnistiyu-do-1-marta-2020-goda/; Госдума приняла закон о продлении сроков действия «дачной амнистии» в отношении объектов индивидуального жилищного строительства до 1 марта 2020 года, сообщает РИА Новости.
Внимание автовладельцам: 22 февраля начали действовать новые правила прохождения техосмотра;http://www.bashinform.ru/news/1120802-vnimanie-avtovladeltsam-22-fevralya-nachali-deystvovat-novye-pravila-prokhozhdeniya-tekhosmotra/; Сегодня, 22 февраля, начали действовать новые правила прохождения техосмотра для автомобилей. В документе говорится, что для правильного техосмотра в авто кроме огнетушителя и знака аварийной остановки, также должна быть аптечка.
В Башкирии мировые судьи наложили штрафов на 1,38 млрд рублей;http://www.bashinform.ru/news/1120763-v-bashkirii-mirovye-sudi-nalozhili-shtrafov-na-1-38-mlrd-rubley/; В Башкирии в 2017 году мировые судьи наложили штрафов на 1 млрд рублей. За год они рассмотрели свыше 576 тысяч дел (на 5,6 % больше, чем в 2016-м). Почти 161 тыс. дел касались административных правонарушений (на 3,6% меньше, чем в 2016 году).
Никто не узнает о Башкортостане, если он сам о себе не расскажет - эксперт;http://www.bashinform.ru/news/1120754-nikto-ne-uznaet-o-bashkortostane-esli-on-sam-o-sebe-ne-rasskazhet-ekspert/; В Башкортостане продолжается работа по разработке турбренда. К работе привлечен пул российских и иностранных специалистов. Коммерческий директор дизайн-студии Province и бренд-агентства LOVEMEDO Артемий Фоминых считает разработку турбренда полезным занятием для любого региона.
В Башкирии распродается недвижимость должников;http://www.bashinform.ru/news/1120745-v-bashkirii-rasprodaetsya-nedvizhimost-dolzhnikov/; В Башкортостане 6 марта пройдут торги по реализации арестованных квартир должников. Об этом сообщает служба судебных приставов РБ. В Белебее по улице Красной, 109/1, в 15.
В Башкирии сократят 199 сотрудников ГИБДД;http://www.bashinform.ru/news/1120740-v-bashkirii-sokratyat-199-sotrudnikov-gibdd/; В Башкортостане сократят 199 сотрудников Госавтоинспекции. Об этом на очередном заседании Госсобрания РБ 22 февраля сообщил министр внутренних дел по региону Роман Деев.
В Год семьи в Башкирии появятся льготные семейные тарифы и родительский «телефон доверия»;http://www.bashinform.ru/news/1120722-v-god-semi-v-bashkirii-poyavyatsya-lgotnye-semeynye-tarify-i-roditelskiy-telefon-doveriya/; На заседании Правительства республики, которое провёл Глава Башкортостана Рустэм Хамитов, был рассмотрен план мероприятий по проведению в регионе Года семьи. План, подготовленный Министерством семьи, труда и социальной защиты населения, представила министр Ленара Иванова.
Минсельхоз Башкирии планирует занять в сельхозпотребкооперации более 900 тысяч жителей республики;http://www.bashinform.ru/news/1120710-minselkhoz-bashkirii-planiruet-zanyat-v-selkhozpotrebkooperatsii-bolee-900-tysyach-zhiteley-respubli/; Более 900 тысяч жителей республики возможно занять в сельхозпотребкооперации, сообщил на заседании правительства РБ вице-премьер и министр сельского хозяйства Ильшат Фазрахманов.
Десятки домов Уфы на следующей неделе останутся без воды;http://www.bashinform.ru/news/1120701-desyatki-domov-ufy-na-sleduyushchey-nedele-ostanutsya-bez-vody/;" Предприятие «Уфаводоканал» сообщило об отключении холодной воды на следующей неделе из-за проведения ремонтных работ. Так, в Ленинском районе 27 февраля с 11 до 19 часов будет отключена вода у следующих потребителей: Второй переулок Жуковского, 38, 38а;"
В Башкирии появится родник имени генерала Шаймуратова;http://www.bashinform.ru/news/1120675-v-bashkirii-poyavitsya-rodnik-imeni-generala-shaymuratova/; В Кармаскалинском районе Башкортостана, на окраине села Шаймуратово, идут работы по благоустройству родника, которому планируется присвоить имя командира 112-й Башкирской кавалерийской дивизии генерала Минигали Шаймуратова.
В Башкирии мужчины претендуют на зарплату выше среднерыночной;http://www.bashinform.ru/news/1120670-v-bashkirii-muzhchiny-pretenduyut-na-zarplatu-vyshe-srednerynochnoy/; В Башкирии мужчины претендуют на зарплату выше среднерыночной, выяснили аналитики рынка труда. Кроме того, существуют преимущественно мужские сферы деятельности, указали в крупном агентстве HeadHunter.
